Title: kubectl logs -n kong kong-controller-cd7757cdb-277gc
Timestamp: 2026-06-18T16:40:37

Command:
kubectl logs -n kong kong-controller-cd7757cdb-277gc --tail=200

Exit code: 0

Output:
2026-06-18T23:30:36Z	info	controllers.KongAdminAPIService	Reconciling Admin API EndpointSlice	{"v": 0, "namespace": "kong", "name": "kong-gateway-admin-z4xdg"}
2026-06-18T23:30:44Z	info	Successfully synced configuration to Kong	{"url": "https://10.101.5.9:8444", "update_strategy": "InMemory", "v": 0, "duration": "14ms"}
2026-06-18T23:30:47Z	info	Successfully synced configuration to Kong	{"url": "https://10.101.5.9:8444", "update_strategy": "InMemory", "v": 0, "duration": "30ms"}
2026-06-18T23:30:47Z	error	controllers.Ingress.netv1	Reconciler error	{"reconcileID": "70820e09-571e-4947-9ad0-2164a2556b2f", "error": "waiting for addresses to be provisioned for publish service kong/kong-gateway-proxy"}
2026-06-18T23:30:47Z	error	controllers.Ingress.netv1	Reconciler error	{"reconcileID": "e5b193b8-9ae6-4130-b7e2-996cb197a4d4", "error": "waiting for addresses to be provisioned for publish service kong/kong-gateway-proxy"}
2026-06-18T23:30:52Z	error	controllers.Ingress.netv1	Reconciler error	{"reconcileID": "d6cdd683-efc1-4a86-972b-274b534dbb2b", "error": "waiting for addresses to be provisioned for publish service kong/kong-gateway-proxy"}
2026-06-18T23:33:26Z	info	Successfully synced configuration to Kong	{"url": "https://10.101.5.9:8444", "update_strategy": "InMemory", "v": 0, "duration": "22ms"}
2026-06-18T23:38:41Z	info	controller-runtime.cache	Warning: configuration.konghq.com/v1 KongIngress is deprecated	{"v": 0}
2026-06-18T23:39:09Z	info	controller-runtime.cache	Warning: configuration.konghq.com/v1beta1 TCPIngress is deprecated	{"v": 0}
2026-06-18T23:39:34Z	info	controller-runtime.cache	Warning: configuration.konghq.com/v1beta1 UDPIngress is deprecated	{"v": 0}
